ingreso,trabaja,horas,ninos16,ninos18,edad,educ,ciudad,exp,ninosp
0,0,0,0,2,49,12,1,2,No
0,0,0,1,4,46,12,1,0,Si
0,0,0,0,0,52,11,0,19,No
0,0,0,1,1,31,12,1,3,Si
0,0,0,1,1,42,10,0,7,Si
0,0,0,0,3,33,11,1,1,No
0,0,0,0,0,57,16,1,9,No
0,0,0,0,0,49,10,1,3,No
0,0,0,0,1,45,14,1,8,No
0,0,0,0,0,56,11,1,0,No
0,0,0,1,3,41,12,1,5,Si
0,0,0,0,0,56,5,1,20,No
0,0,0,0,1,48,10,1,3,No
0,0,0,0,2,52,16,1,12,No
0,0,0,0,0,51,12,1,5,No
0,0,0,0,3,35,11,0,1,No
0,0,0,0,0,45,12,0,0,No
0,0,0,0,0,54,12,1,7,No
0,0,0,0,2,54,12,1,13,No
0,0,0,1,0,31,12,0,3,Si
0,0,0,0,3,53,6,0,0,No
0,0,0,2,2,35,14,0,2,Si
0,0,0,1,3,36,12,0,0,Si
0,0,0,0,0,59,12,1,2,No
0,0,0,0,0,54,16,1,1,No
0,0,0,1,1,37,12,1,10,Si
0,0,0,0,0,44,12,1,10,No
0,0,0,1,2,34,17,1,1,Si
0,0,0,0,0,49,12,0,3,No
0,0,0,0,0,49,12,0,32,No
0,0,0,0,0,60,9,0,0,No
0,0,0,0,0,51,12,1,7,No
0,0,0,1,1,30,12,1,5,Si
0,0,0,0,2,47,12,1,2,No
0,0,0,0,4,36,12,1,5,No
0,0,0,1,3,35,12,1,3,Si
0,0,0,0,0,58,12,0,25,No
0,0,0,1,3,41,14,0,0,Si
0,0,0,0,1,51,10,1,3,No
0,0,0,0,0,47,12,0,10,No
0,0,0,1,2,45,9,0,10,Si
0,0,0,0,0,60,14,1,7,No
0,0,0,1,1,30,16,1,5,Si
0,0,0,0,0,55,11,1,15,No
0,0,0,1,2,32,12,0,1,Si
0,0,0,0,2,36,12,0,5,No
0,0,0,0,0,55,12,0,9,No
0,0,0,0,0,47,12,0,18,No
0,0,0,0,1,47,12,1,1,No
0,0,0,0,1,37,11,0,0,No
0,0,0,0,2,50,12,0,6,No
0,0,0,0,3,30,12,0,1,No
0,0,0,0,1,48,17,0,2,No
0,0,0,0,2,43,10,1,15,No
0,0,0,1,0,48,11,0,25,Si
0,0,0,1,2,41,14,1,1,Si
0,0,0,0,0,50,12,1,0,No
0,0,0,0,0,58,8,0,0,No
0,0,0,0,5,38,13,1,0,No
0,0,0,0,1,37,12,0,8,No
0,0,0,0,0,50,16,1,22,No
0,0,0,0,4,42,8,1,5,No
0,0,0,1,3,37,9,1,10,Si
0,0,0,0,2,41,16,1,1,No
0,0,0,0,2,31,12,0,1,No
0,0,0,0,0,51,12,1,6,No
0,0,0,1,2,36,12,0,4,Si
0,0,0,0,0,54,15,0,6,No
0,0,0,0,0,49,12,1,0,No
0,0,0,1,1,48,9,0,1,Si
0,0,0,0,2,42,9,0,3,No
0,0,0,1,2,41,12,1,15,Si
0,0,0,0,0,55,16,0,33,No
0,0,0,0,0,42,9,1,2,No
0,0,0,0,1,32,15,1,1,No
0,0,0,0,2,43,12,1,10,No
0,0,0,1,3,33,12,1,0,Si
0,0,0,0,1,48,15,1,14,No
0,0,0,0,2,43,12,1,15,No
0,0,0,1,3,47,17,1,15,Si
0,0,0,0,0,54,12,1,10,No
0,0,0,0,1,51,12,1,6,No
0,0,0,0,1,51,10,0,18,No
0,0,0,1,1,43,13,0,15,Si
0,0,0,0,0,53,12,0,30,No
0,0,0,1,1,34,11,0,15,Si
0,0,0,1,1,31,8,0,10,Si
0,0,0,0,0,56,12,1,0,No
0,0,0,0,1,42,16,1,0,No
0,0,0,0,2,32,12,1,4,No
0,0,0,1,3,35,12,1,0,Si
0,0,0,1,1,30,12,1,3,Si
0,0,0,0,0,51,10,0,20,No
0,0,0,0,3,47,12,0,3,No
0,0,0,0,1,54,12,0,1,No
0,0,0,3,0,31,15,1,5,Si
0,0,0,0,0,47,10,1,7,No
0,0,0,0,3,47,14,1,6,No
0,0,0,0,3,40,12,1,2,No
0,0,0,0,0,48,8,0,0,No
0,0,0,0,7,34,8,1,10,No
0,0,0,0,3,38,12,1,6,No
0,0,0,1,3,32,12,1,4,Si
0,0,0,0,1,48,16,1,8,No
0,0,0,0,2,41,12,0,18,No
0,0,0,0,2,49,5,0,7,No
0,0,0,0,0,59,8,1,15,No
0,0,0,0,0,58,13,1,7,No
0,0,0,0,3,41,12,1,8,No
0,0,0,0,2,45,12,1,8,No
0,0,0,1,1,30,14,0,3,Si
0,0,0,0,1,41,12,1,10,No
0,0,0,2,0,30,12,0,9,Si
0,0,0,0,1,53,12,1,24,No
0,0,0,0,0,31,12,0,12,No
0,0,0,0,2,43,14,1,2,No
0,0,0,1,1,31,12,1,6,Si
0,0,0,0,0,51,12,1,18,No
0,0,0,0,0,43,9,1,17,No
0,0,0,1,2,31,14,1,7,Si
0,0,0,0,0,48,11,1,6,No
0,0,0,1,1,31,12,1,10,Si
0,0,0,0,1,44,12,1,5,No
0,0,0,0,1,48,11,1,7,No
0,0,0,0,1,53,12,1,11,No
0,0,0,0,3,42,10,1,14,No
0,0,0,2,6,39,12,1,5,Si
0,0,0,1,2,32,10,0,2,Si
0,0,0,0,2,36,12,0,4,No
0,0,0,0,2,40,13,1,5,No
0,0,0,2,3,31,12,0,14,Si
0,0,0,0,0,43,12,0,4,No
0,0,0,0,0,60,12,1,15,No
0,0,0,0,3,39,9,1,12,No
